ID,nDissSteps,pKa,pKa_1,pKa_2,pKaType,pKaType_1,pKaType_2,ChargeA,ChargeA_1,ChargeA_2,ChargeA_3,ChargeB,ChargeB_1,ChargeB_2,ChargeB_3
125,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
126,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
127,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
128,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
129,3,2.94,15,16,1,0,0,0,0,0,0,1,0,0,0
130,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
131,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
132,3,3.02,15,16,1,0,0,0,0,0,0,1,0,0,0
133,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
134,3,1.92,15,16,1,0,0,0,0,0,0,1,0,0,0
135,3,2.89,15,16,1,0,0,0,0,0,0,1,0,0,0
136,3,0.63,15,16,1,0,0,0,0,0,0,1,0,0,0
137,3,1.57,15,16,1,0,0,0,0,0,0,1,0,0,0
138,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
139,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
140,3,-0.0943,15,16,1,0,0,0,0,0,0,1,0,0,0
141,3,0.31,15,16,1,0,0,0,0,0,0,1,0,0,0
142,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
143,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
144,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
145,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
146,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
147,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
148,3,2.3,15,16,1,0,0,0,0,0,0,1,0,0,0
149,3,4.84,15,16,1,0,0,0,0,0,0,1,0,0,0
150,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
151,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
152,3,14,15,16,0,0,0,0,0,0,0,1,1,1,1
153,3,3.66,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0
154,3,0.94,15,16,1,0,0,0,0,0,0,1,0,0,0
155,3,1.52,15,16,1,0,0,0,0,0,0,1,0,0,0
156,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
157,3,2.75,15,16,1,0,0,0,0,0,0,1,0,0,0
158,3,3.35,15,16,1,0,0,0,0,0,0,1,0,0,0
159,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
160,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
161,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
162,3,1.21,15,16,1,0,0,0,0,0,0,1,0,0,0
163,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
164,3,2.19,15,16,1,0,0,0,0,0,0,1,0,0,0
165,3,2.75,15,16,1,0,0,0,0,0,0,1,0,0,0
166,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
167,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
168,3,1.67,15,16,1,0,0,0,0,0,0,1,0,0,0
169,3,2.34,15,16,1,0,0,0,0,0,0,1,0,0,0
170,3,0.91,15,16,1,0,0,0,0,0,0,1,0,0,0
171,3,2.91,15,16,1,0,0,0,0,0,0,1,0,0,0
172,3,2.7,15,16,1,0,0,0,0,0,0,1,0,0,0
173,3,14,15,16,0,0,0,0,0,0,0,1,1,1,1
174,3,3.06,15,16,1,0,0,0,0,0,0,1,0,0,0
175,3,3.06,15,16,1,0,0,0,0,0,0,1,0,0,0
176,3,2.94,15,16,1,0,0,0,0,0,0,1,0,0,0
177,3,3.27,15,16,1,0,0,0,0,0,0,1,0,0,0
178,3,2.68,15,16,1,0,0,0,0,0,0,1,0,0,0
179,3,2.4,15,16,1,0,0,0,0,0,0,1,0,0,0
180,3,2.98,15,16,1,0,0,0,0,0,0,1,0,0,0
181,3,2.4,15,16,1,0,0,0,0,0,0,1,0,0,0
182,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
183,3,2.31,15,16,1,0,0,0,0,0,0,1,0,0,0
184,3,3.66,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0
185,3,2.94,15,16,1,0,0,0,0,0,0,1,0,0,0
186,3,-0.00316,15,16,1,0,0,0,0,0,0,1,0,0,0
187,3,3.88,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0
188,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
189,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
190,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
191,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
192,3,2.97,15,16,1,0,0,0,0,0,0,1,0,0,0
193,3,1.41,15,16,1,0,0,0,0,0,0,1,0,0,0
194,3,0.48,1.54,16,1,1,0,0,0,0,0,2,1,0,0
195,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
196,3,1.45,15,16,1,0,0,0,0,0,0,1,0,0,0
197,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
198,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
199,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
200,3,2.57,15,16,1,0,0,0,0,0,0,1,0,0,0
201,3,2.8,15,16,1,0,0,0,0,0,0,1,0,0,0
202,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
203,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
204,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
205,3,0.6,15,16,1,0,0,0,0,0,0,1,0,0,0
206,3,4.9,15,16,1,0,0,0,0,0,0,1,0,0,0
207,3,3.74,15,16,1,0,0,0,0,0,0,1,0,0,0
208,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
209,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
210,3,0.94,15,16,1,0,0,0,0,0,0,1,0,0,0
211,3,0.23,15,16,1,0,0,0,0,0,0,1,0,0,0
212,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
213,3,3.63,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0
214,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
215,3,1.41,15,16,1,0,0,0,0,0,0,1,0,0,0
216,3,-0.15,15,16,1,0,0,0,0,0,0,1,0,0,0
217,3,3.21,15,16,1,0,0,0,0,0,0,1,0,0,0
218,3,0.89,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0
219,3,5.18,15,16,1,0,0,0,0,0,0,1,0,0,0
220,3,2.05,15,16,1,0,0,0,0,0,0,1,0,0,0
221,3,-0.3,15,16,1,0,0,0,0,0,0,1,0,0,0
222,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
223,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
224,3,0.71,15,16,1,0,0,0,0,0,0,1,0,0,0
225,3,2.56,4.21,16,1,-1,0,0,0,-1,-1,1,0,0,0
226,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
227,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
228,3,5.59,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0
229,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
230,3,4.84,15,16,1,0,0,0,0,0,0,2,1,1,1
231,3,0.63,15,16,1,0,0,0,0,0,0,1,0,0,0
232,3,3.55,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0
233,3,-0.32,15,16,1,0,0,0,0,0,0,1,0,0,0
234,3,5,15,16,1,0,0,0,0,0,0,1,0,0,0
235,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
236,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
237,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
238,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
239,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
240,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
241,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
242,3,1.54,15,16,1,0,0,0,0,0,0,1,0,0,0
243,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
244,3,-0.16,15,16,1,0,0,0,0,0,0,1,0,0,0
245,3,2.55,4.15,16,-1,-1,0,0,-1,-2,-2,0,0,0,0
246,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
247,3,0.71,3.72,16,1,-1,0,0,0,-1,-1,1,0,0,0
248,3,0.31,15,16,1,0,0,0,0,0,0,1,0,0,0
249,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
250,3,4.36,15,16,1,0,0,0,0,0,0,1,0,0,0
251,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
252,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
253,3,0.7,15,16,1,0,0,0,0,0,0,1,0,0,0
254,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
255,3,2.45,4.05,16,-1,-1,0,0,-1,-2,-2,0,0,0,0
256,3,2.6,4.34,16,1,-1,0,0,0,-1,-1,1,0,0,0
257,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
258,3,3.15,15,16,1,0,0,0,0,0,0,1,0,0,0
259,3,0.93,15,16,1,0,0,0,0,0,0,1,0,0,0
260,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
261,3,0.93,15,16,1,0,0,0,0,0,0,1,0,0,0
